"case_id","repository","revision","lane","passed","duration_ms","environment","commands","command_exit_codes","outcome_class"
"bisect-d9550b09","BISECT","d9550b09ad4b76080341f7caeaa60a225d4ada60","selected","False","103548","REDIST_METIS_ENGINE=metis-core","cargo test -p bisect-cli --lib --tests --no-default-features -- --test-threads=1","101","rustc_denied_warning_unused_variables"
"bisect-d9550b09","BISECT","d9550b09ad4b76080341f7caeaa60a225d4ada60","full","False","17426","REDIST_METIS_ENGINE=metis-core","cargo test -p bisect-core --lib --tests","101","rustc_denied_warning_non_snake_case"
"bisect-453ca260","BISECT","453ca260864bc254235fc0980b8608e3963f530a","selected-equals-full","False","14720","REDIST_METIS_ENGINE=metis-core","cargo test -p bisect-core --lib --tests","101","rustc_denied_warning_non_snake_case"
"icelines-0be0c480","ICELINES","0be0c480a1fcbff258005fc1d41d251ce4f55477","selected","True","1297708","CARGO_TERM_COLOR=always;RUST_BACKTRACE=1;RUST_MIN_STACK=16777216","cargo test -p icelines-cli --lib && cargo test -p icelines-cli --bin icelines && cargo test -p icelines-cli --test art_ross_a0_parity --test art_ross_a2_executor --test art_ross_a5_explain --test art_ross_w14_semantic --test art_ross_w14b_goalies --test art_ross_w15_trades --test art_ross_w23_tui_filter --test art_ross_w25_career_filter && cargo test -p icelines-cli --test lindsay_l3_golden --test lindsay_l5_subprocess && cargo test -p icelines-cli --test persona_foster --test persona_masterton_standalone --test persona_scenarios --test persona_wave2 --test persona_wave3 --test persona_wave4 --test persona_wave5 --test persona_wave6 --test persona_wave7 --test persona_wave9 --test persona_wave10 --test persona_wave11 --test persona_wave16 --test persona_wave18 --test persona_wave20 --test persona_wave23 --test persona_wave25 && cargo test -p icelines-cli --test system_tests --test system_tui_experiences && cargo test -p icelines-cli --test foster_capability_matrix","0;0;0;0;0;0;0","passed"
"icelines-0be0c480","ICELINES","0be0c480a1fcbff258005fc1d41d251ce4f55477","full","True","1204558","CARGO_TERM_COLOR=always;RUST_BACKTRACE=1;RUST_MIN_STACK=16777216","cargo test --workspace","0","passed"
