"repository","revision","base_revision","committed_at","subject","result_class","process_exit_code","planning_ms","validation_plan_id","repeat_validation_plan_id","change_set_id","repeat_change_set_id","identities_match","input_count","selected_package_count","full_package_count","fallback_required"
"BISECT","e0764d2aa2dc25b52f6a40c47b0787766b18e749","d9550b09ad4b76080341f7caeaa60a225d4ada60","2026-08-21T12:24:43-07:00","docs: index doctrine with PITFALL","success","0","5049","validation-plan:11154716963404558491339e8db3bcb20b8f3c057f2be6bcc94e2b1c0a180514","validation-plan:11154716963404558491339e8db3bcb20b8f3c057f2be6bcc94e2b1c0a180514","change-set:0337945079d41e54a33dfb51ee9ca6f4d25fdec9e9207c99592c9cb72df2c182","change-set:0337945079d41e54a33dfb51ee9ca6f4d25fdec9e9207c99592c9cb72df2c182","True","1","0","39","True"
"BISECT","d9550b09ad4b76080341f7caeaa60a225d4ada60","453ca260864bc254235fc0980b8608e3963f530a","2026-08-20T19:27:42-07:00","Prevent Windows CLI startup stack overflow","success","0","5460","validation-plan:d234ce576b6f58951fb9a6c4c8c1c9b0c8e27c7471c7c74a9103902415ef7cec","validation-plan:d234ce576b6f58951fb9a6c4c8c1c9b0c8e27c7471c7c74a9103902415ef7cec","change-set:48e1672dd744c510d1ca2ea94758e216b2d375a111ea04eac184c53a501e95a2","change-set:48e1672dd744c510d1ca2ea94758e216b2d375a111ea04eac184c53a501e95a2","True","1","2","39","False"
"BISECT","453ca260864bc254235fc0980b8608e3963f530a","0f177d3fc637b1c4069f35376a6e4300357053ed","2026-08-20T18:46:17-07:00","Restore warning-clean workspace checks","success","0","4430","validation-plan:4c8a64796dab715648de38cf7595c80f6c7d223ef34750ba2e3b9811b53283f5","validation-plan:4c8a64796dab715648de38cf7595c80f6c7d223ef34750ba2e3b9811b53283f5","change-set:6950d1684d3662c465e298406474210aad912c884fc5ed6ddf7605cc208a9f6c","change-set:6950d1684d3662c465e298406474210aad912c884fc5ed6ddf7605cc208a9f6c","True","42","20","39","False"
"BISECT","0f177d3fc637b1c4069f35376a6e4300357053ed","f9f21a6ff5a7e29f63a694e03d0c284622ec2a09","2026-08-20T17:31:25-07:00","Remove empty web crate and dead test helpers","success","0","4922","validation-plan:00ba96b238d9f321592b516aa9928e52dc3eda4a706a4dfc7a7d24f4b5d0c6ef","validation-plan:00ba96b238d9f321592b516aa9928e52dc3eda4a706a4dfc7a7d24f4b5d0c6ef","change-set:8ad557901c283f47d6c5332fc3ae26482986369ca777922d617a3f3c52d07bca","change-set:8ad557901c283f47d6c5332fc3ae26482986369ca777922d617a3f3c52d07bca","True","14","0","39","True"
"BISECT","f9f21a6ff5a7e29f63a694e03d0c284622ec2a09","692d06d274f8ca27b6bc6b8db5c08e03bd389384","2026-08-20T17:09:55-07:00","Consolidate census state configuration","success","0","4425","validation-plan:11126da8c6eee0ff33f486542e77725e2c8702637de3f7488502d5be1e4680ee","validation-plan:11126da8c6eee0ff33f486542e77725e2c8702637de3f7488502d5be1e4680ee","change-set:e9b94d869d5c3bb0b1024dcc2865d7b975f1701f35485a7b69f044682af1febf","change-set:e9b94d869d5c3bb0b1024dcc2865d7b975f1701f35485a7b69f044682af1febf","True","34","0","40","True"
"BISECT","692d06d274f8ca27b6bc6b8db5c08e03bd389384","27724a4ba489d8a91fc16e6a364f61869932c45f","2026-08-20T16:54:27-07:00","Consolidate Windows command wrappers","success","0","5505","validation-plan:19283036652094f387fd2b9ac8d0ce5ea14a150da05e417b16edcf4f2611eed6","validation-plan:19283036652094f387fd2b9ac8d0ce5ea14a150da05e417b16edcf4f2611eed6","change-set:f15951fab97e314a36e2ae4138094bc14317f201f0254ee18f44cc78be216ccf","change-set:f15951fab97e314a36e2ae4138094bc14317f201f0254ee18f44cc78be216ccf","True","11","0","40","True"
"BISECT","27724a4ba489d8a91fc16e6a364f61869932c45f","b8efed125d8d68b598b9d05091acc527f82afbdb","2026-08-20T16:28:50-07:00","Pin mapped T.14 camera geometry","success","0","5018","validation-plan:1d046c8b990ef90f279f60856846e02f0db43fbfc81f9b5443308a17a99f31c8","validation-plan:1d046c8b990ef90f279f60856846e02f0db43fbfc81f9b5443308a17a99f31c8","change-set:2b678255b942a41ead642c0b1c658dcd1e1f8b0570fb355893d9daa6a061f6ed","change-set:2b678255b942a41ead642c0b1c658dcd1e1f8b0570fb355893d9daa6a061f6ed","True","3","0","40","True"
"BISECT","b8efed125d8d68b598b9d05091acc527f82afbdb","517ecedc34436f16683e7e38002bb2d936229ef7","2026-08-20T16:09:33-07:00","Compact superseded experiment evidence","success","0","2562","validation-plan:a35bf2668e4d1e260a351fa11435cb7f0a357b01b16314db6d38c684e7b4cf8c","validation-plan:a35bf2668e4d1e260a351fa11435cb7f0a357b01b16314db6d38c684e7b4cf8c","change-set:013e1ef9433f3f9073b0b6ddcfccb1ecff3c608f2e280cf207baed5f6988b37d","change-set:013e1ef9433f3f9073b0b6ddcfccb1ecff3c608f2e280cf207baed5f6988b37d","True","2030","0","40","True"
"BISECT","517ecedc34436f16683e7e38002bb2d936229ef7","3de0d97ec6899310949e6e42d3d7187ca2a6da10","2026-08-20T15:30:46-07:00","Pin caption-safe T.14 camera tour","success","0","2674","validation-plan:530fe7d7604b536224f24068312c3c449dfd7ea6b16647da68a1e192ac3c7dcf","validation-plan:530fe7d7604b536224f24068312c3c449dfd7ea6b16647da68a1e192ac3c7dcf","change-set:f3502e70c93bddcba6e9d34e2ae0e76124f1f01cebcec39f1f6b85ad73007c06","change-set:f3502e70c93bddcba6e9d34e2ae0e76124f1f01cebcec39f1f6b85ad73007c06","True","2","0","40","True"
"BISECT","3de0d97ec6899310949e6e42d3d7187ca2a6da10","5d4501c739c61026ec58363b3d6ba4b267d4a901","2026-08-20T11:00:49-07:00","Merge pull request #38 from giodl73-repo/release-reproducible-builds","success","0","2215","validation-plan:f7b34ac70a96587b2974b9e0ae0a40d532a63131ffa9fa72ae8552630d128d22","validation-plan:f7b34ac70a96587b2974b9e0ae0a40d532a63131ffa9fa72ae8552630d128d22","change-set:de2726e8a49daa7b1a2d218e7e1c96b62daf5966e5ad421c900121f7a567a268","change-set:de2726e8a49daa7b1a2d218e7e1c96b62daf5966e5ad421c900121f7a567a268","True","1","0","40","True"
