"repository","revision","base_revision","committed_at","subject","result_class","process_exit_code","planning_ms","validation_plan_id","repeat_validation_plan_id","change_set_id","repeat_change_set_id","identities_match","input_count","selected_package_count","full_package_count","fallback_required"
"BISECT","5d4501c739c61026ec58363b3d6ba4b267d4a901","e53c8c1285ec49cd156a68be8716cd1c3b48bf33","2026-08-20T09:05:15-07:00","feat: add T14 spectral camera tour","success","0","2199","validation-plan:8cd6acc53f70b6077a1603eb4dd04c11fbe16b38315c083c5c128894a240e346","validation-plan:8cd6acc53f70b6077a1603eb4dd04c11fbe16b38315c083c5c128894a240e346","change-set:91d8fbc5bb5e79b692782179d0f3195fca2d0df76243cb6ec3dc86f2045944cb","change-set:91d8fbc5bb5e79b692782179d0f3195fca2d0df76243cb6ec3dc86f2045944cb","True","4","0","40","True"
"BISECT","e53c8c1285ec49cd156a68be8716cd1c3b48bf33","f7250e7200f5cd09ec1c85bdf3365f6880fbbf98","2026-08-19T22:04:01-07:00","feat: add Minnesota recursive-round preview","success","0","2015","validation-plan:00e84c5c65d98accfec2563b43d193499a7a44b363865d27c6d9b2ee9ecaf103","validation-plan:00e84c5c65d98accfec2563b43d193499a7a44b363865d27c6d9b2ee9ecaf103","change-set:24a831a33b77224c62cc12cf44e07e54fb344656fbc869d4a268876e37ff65d6","change-set:24a831a33b77224c62cc12cf44e07e54fb344656fbc869d4a268876e37ff65d6","True","4","0","40","True"
"ICELINES","935136020140bd5b408d26cbb0777dd6f0fb5ef9","41fec3dab0dd0d28e55a3b5d5f98c2ac650f108f","2026-09-08T15:01:33-07:00","fix(fantasy): accelerate daily planning (#70)","success","0","3307","validation-plan:a48648b58d815f50a424b4e82753744d98983c2c178f1d135f8e49fc52ca8d4e","validation-plan:a48648b58d815f50a424b4e82753744d98983c2c178f1d135f8e49fc52ca8d4e","change-set:3f6cf49c4ef3d5a86e15a63a5223c09bfe6f3c614320cdfab250d3f2894a369a","change-set:3f6cf49c4ef3d5a86e15a63a5223c09bfe6f3c614320cdfab250d3f2894a369a","True","5","7","7","True"
"ICELINES","41fec3dab0dd0d28e55a3b5d5f98c2ac650f108f","7cfacf8853950170439b2b31547e188bfd330a04","2026-09-08T10:57:13-07:00","build(deps): bump the rust-dependencies group with 3 updates (#68)","success","0","2038","validation-plan:d845f7554d2370b8af11dc095475d2756d021686bb8112559dd6d1304f078795","validation-plan:d845f7554d2370b8af11dc095475d2756d021686bb8112559dd6d1304f078795","change-set:dfbeb2bc806d285eb7d2cffed77d18cc4156ec877d67df2b5c6c57653cc75929","change-set:dfbeb2bc806d285eb7d2cffed77d18cc4156ec877d67df2b5c6c57653cc75929","True","1","0","7","True"
"ICELINES","7cfacf8853950170439b2b31547e188bfd330a04","476e02defa386bd4218cbf9144f7a5f1e6bdfbc1","2026-09-08T10:54:52-07:00","build(deps): bump fletch-core from `7c7aacd` to `d7bdef7` (#69)","success","0","2327","validation-plan:d845f7554d2370b8af11dc095475d2756d021686bb8112559dd6d1304f078795","validation-plan:d845f7554d2370b8af11dc095475d2756d021686bb8112559dd6d1304f078795","change-set:dfbeb2bc806d285eb7d2cffed77d18cc4156ec877d67df2b5c6c57653cc75929","change-set:dfbeb2bc806d285eb7d2cffed77d18cc4156ec877d67df2b5c6c57653cc75929","True","1","0","7","True"
"ICELINES","476e02defa386bd4218cbf9144f7a5f1e6bdfbc1","f87d01d8020ae7dadc413dc0a0916edfbc89f5f9","2026-09-08T10:54:47-07:00","build(deps): bump the github-actions group with 3 updates (#67)","success","0","1868","validation-plan:0485fc029fd2ed6157deac700d6c2ccf95b199a4805c3fcb52041306115e2f3a","validation-plan:0485fc029fd2ed6157deac700d6c2ccf95b199a4805c3fcb52041306115e2f3a","change-set:1f49a8be338ca54e72ad509265d9e4b7f39b8dfed844f5582e58de939b7c0638","change-set:1f49a8be338ca54e72ad509265d9e4b7f39b8dfed844f5582e58de939b7c0638","True","1","0","7","True"
"ICELINES","f87d01d8020ae7dadc413dc0a0916edfbc89f5f9","00e4a6d03e53f3358e878429d7acc8d9d689a6cd","2026-09-06T13:44:32-07:00","feat(fantasy): add replacement lookahead (#66)","success","0","2101","validation-plan:598e255ff2edb29991c9b28996cc18ffb7932b6674edc2b00ef158f3bfc2d1c4","validation-plan:598e255ff2edb29991c9b28996cc18ffb7932b6674edc2b00ef158f3bfc2d1c4","change-set:ef147941288d181603462ab1f527e182b2d66cd4e5909738fe6187b1f3d95a48","change-set:ef147941288d181603462ab1f527e182b2d66cd4e5909738fe6187b1f3d95a48","True","9","7","7","True"
"ICELINES","00e4a6d03e53f3358e878429d7acc8d9d689a6cd","3dec772652477b9240c99cdcf090cfb83f5efb52","2026-09-06T11:32:11-07:00","fix(fantasy): keep matchup plans with rookies (#65)","success","0","2182","validation-plan:dd23bad2ecb0db24447fd39e6c52a1357fbfdb584a4d8f21a803809a6f925399","validation-plan:dd23bad2ecb0db24447fd39e6c52a1357fbfdb584a4d8f21a803809a6f925399","change-set:5b762cc674e07918eeecb5de51edcbd17ee0527d356582fa2f3eab2abccab35e","change-set:5b762cc674e07918eeecb5de51edcbd17ee0527d356582fa2f3eab2abccab35e","True","2","1","7","True"
"ICELINES","3dec772652477b9240c99cdcf090cfb83f5efb52","59698589b61c9b3f55c534853342944a289c8635","2026-09-06T10:44:42-07:00","feat(web): resolve player cards by name (#64)","success","0","2323","validation-plan:7a2045b895fb249c8d8b9d407b1c21d417bbe247871d360ff764afb985edddb4","validation-plan:7a2045b895fb249c8d8b9d407b1c21d417bbe247871d360ff764afb985edddb4","change-set:6849a653322d6f77ed1944c620c9f769fb1c60ed2d4cb8e702000df382daf181","change-set:6849a653322d6f77ed1944c620c9f769fb1c60ed2d4cb8e702000df382daf181","True","6","2","7","True"
"ICELINES","59698589b61c9b3f55c534853342944a289c8635","fcfe650ad5ddc0fc6cc6a7f73ca0fd8cd4a7ca27","2026-09-06T05:38:45-07:00","feat(fantasy): add data readiness dashboard (#63)","success","0","2409","validation-plan:0bdae7e478d0e00acf5d166ca73dc3f8a26a723af65039aca0de7e964799e809","validation-plan:0bdae7e478d0e00acf5d166ca73dc3f8a26a723af65039aca0de7e964799e809","change-set:2799fcbfa2157897f49ca83985505df9ed741b0ca8595e8991d1565eaa5b4916","change-set:2799fcbfa2157897f49ca83985505df9ed741b0ca8595e8991d1565eaa5b4916","True","19","7","7","True"
"ICELINES","fcfe650ad5ddc0fc6cc6a7f73ca0fd8cd4a7ca27","04e27c675061f5972c4e3fc2bd225d9baa9344dd","2026-09-05T18:41:59-07:00","feat(fantasy): add weekly decision review calibration (#62)","success","0","2651","validation-plan:7b118953f0f3213412e08c51114308a41d2d7329b5a5cafacbe8b4f234eae8c3","validation-plan:7b118953f0f3213412e08c51114308a41d2d7329b5a5cafacbe8b4f234eae8c3","change-set:8a681f94f6b908e41d084a66627ce477c4c2b53ad3862ec6311c0e64a4b8f5b7","change-set:8a681f94f6b908e41d084a66627ce477c4c2b53ad3862ec6311c0e64a4b8f5b7","True","22","7","7","True"
"ICELINES","04e27c675061f5972c4e3fc2bd225d9baa9344dd","f2489c7f9cf9cfc23d02e271f409f47eac8e8677","2026-09-05T16:08:08-07:00","feat(fantasy): add weekly operations planner (#61)","success","0","2319","validation-plan:fb57ef4cf886331d2a4a3e14e7648f6719d756de15674034cee50701095cc5bb","validation-plan:fb57ef4cf886331d2a4a3e14e7648f6719d756de15674034cee50701095cc5bb","change-set:e3835b9aa9719b2f0ad66ca67ef9af044a75af0986994b5223ef39ebde674f60","change-set:e3835b9aa9719b2f0ad66ca67ef9af044a75af0986994b5223ef39ebde674f60","True","22","7","7","True"
"ICELINES","f2489c7f9cf9cfc23d02e271f409f47eac8e8677","d09ae6c18a06f33c2a7ff892f9b24be2bd3c974d","2026-09-05T13:27:45-07:00","fix(fantasy): close daily decision audit gaps","success","0","1988","validation-plan:854c9872488c84e9ede65ba3b57df1f4ceb0c6b983bcc915a09166033a41d0bb","validation-plan:854c9872488c84e9ede65ba3b57df1f4ceb0c6b983bcc915a09166033a41d0bb","change-set:96dbfbe8b6408d7e410449df702c433e226e63afb05a7ca58138ba712830b99d","change-set:96dbfbe8b6408d7e410449df702c433e226e63afb05a7ca58138ba712830b99d","True","11","7","7","True"
"ICELINES","d09ae6c18a06f33c2a7ff892f9b24be2bd3c974d","05a4d0d3162b9a8500418efe3327e9801c4a99e6","2026-09-05T13:27:45-07:00","feat(fantasy): add league-aware daily decisions","success","0","2547","validation-plan:66fcf13ed23294992281b6401542cafd72c6583568d3c4e5f8e20f4f00122473","validation-plan:66fcf13ed23294992281b6401542cafd72c6583568d3c4e5f8e20f4f00122473","change-set:9bc42b9676dbee79e22c4ed4fc22a0c8bda9a787ab4379a7d3aabee58d7c05f9","change-set:9bc42b9676dbee79e22c4ed4fc22a0c8bda9a787ab4379a7d3aabee58d7c05f9","True","29","7","7","True"
"ICELINES","05a4d0d3162b9a8500418efe3327e9801c4a99e6","82aa59fdaf035cc58d2391406bddc2659604f8de","2026-09-05T09:59:35-07:00","feat(fantasy): add daily season cockpit (#59)","success","0","1888","validation-plan:afba503a49537361d2adf41b90ce999b9bc947ce112b14306ff6b0d54d2ff2f5","validation-plan:afba503a49537361d2adf41b90ce999b9bc947ce112b14306ff6b0d54d2ff2f5","change-set:0c6cbd35ad5ddf424b40cd065731d701099cb66a395f961f0cc7ae1a446c9281","change-set:0c6cbd35ad5ddf424b40cd065731d701099cb66a395f961f0cc7ae1a446c9281","True","27","7","7","True"
"ICELINES","82aa59fdaf035cc58d2391406bddc2659604f8de","2b19a14d67b1de4006dc97100e438ee1e93a0179","2026-09-05T06:43:47-07:00","ci: run required checks on every pull request (#58)","success","0","2027","validation-plan:0485fc029fd2ed6157deac700d6c2ccf95b199a4805c3fcb52041306115e2f3a","validation-plan:0485fc029fd2ed6157deac700d6c2ccf95b199a4805c3fcb52041306115e2f3a","change-set:1f49a8be338ca54e72ad509265d9e4b7f39b8dfed844f5582e58de939b7c0638","change-set:1f49a8be338ca54e72ad509265d9e4b7f39b8dfed844f5582e58de939b7c0638","True","1","0","7","True"
"ICELINES","2b19a14d67b1de4006dc97100e438ee1e93a0179","4eefa8052a789c20d4186119c1f4af9efef2ad48","2026-09-05T06:32:06-07:00","Bump openssl from 0.10.79 to 0.10.81 (#20)","success","0","2123","validation-plan:d845f7554d2370b8af11dc095475d2756d021686bb8112559dd6d1304f078795","validation-plan:d845f7554d2370b8af11dc095475d2756d021686bb8112559dd6d1304f078795","change-set:dfbeb2bc806d285eb7d2cffed77d18cc4156ec877d67df2b5c6c57653cc75929","change-set:dfbeb2bc806d285eb7d2cffed77d18cc4156ec877d67df2b5c6c57653cc75929","True","1","0","7","True"
"ICELINES","4eefa8052a789c20d4186119c1f4af9efef2ad48","db23e9c7cc6fc6524f9c51e0b1ba6204a215b133","2026-09-05T06:31:27-07:00","build(deps): bump the rust-dependencies group across 1 directory with 14 updates (#50)","success","0","1985","validation-plan:d845f7554d2370b8af11dc095475d2756d021686bb8112559dd6d1304f078795","validation-plan:d845f7554d2370b8af11dc095475d2756d021686bb8112559dd6d1304f078795","change-set:dfbeb2bc806d285eb7d2cffed77d18cc4156ec877d67df2b5c6c57653cc75929","change-set:dfbeb2bc806d285eb7d2cffed77d18cc4156ec877d67df2b5c6c57653cc75929","True","1","0","7","True"
"ICELINES","db23e9c7cc6fc6524f9c51e0b1ba6204a215b133","b93a784a566910c472972a5e3e2c578046f514e7","2026-09-05T06:31:24-07:00","Validate Ferris artifact handoff across platforms (#48)","success","0","2533","validation-plan:e228df73467821fc7e6609a649291d870a35080b73d2ccf353e57f75d17243af","validation-plan:e228df73467821fc7e6609a649291d870a35080b73d2ccf353e57f75d17243af","change-set:c530af04278d459c0372d43218f2e96e9e02d9819fdb5921d11bbde660190ba4","change-set:c530af04278d459c0372d43218f2e96e9e02d9819fdb5921d11bbde660190ba4","True","5","0","7","True"
"ICELINES","b93a784a566910c472972a5e3e2c578046f514e7","e8bcaaf73b22dc728cdc4699aa13ee59f96e7f10","2026-09-05T06:31:20-07:00","build(deps): bump the github-actions group across 1 directory with 6 updates (#17)","success","0","2513","validation-plan:b748041550a01b4b0400b1a615b8bec70c3d6cf2543bc29beca1bf4a2fc93772","validation-plan:b748041550a01b4b0400b1a615b8bec70c3d6cf2543bc29beca1bf4a2fc93772","change-set:19fb19d2ab7cdbba38ecc36c7607cdaed2445f3c74e970d1c9dfcbedd317e2db","change-set:19fb19d2ab7cdbba38ecc36c7607cdaed2445f3c74e970d1c9dfcbedd317e2db","True","4","0","7","True"
"ICELINES","e8bcaaf73b22dc728cdc4699aa13ee59f96e7f10","0be0c480a1fcbff258005fc1d41d251ce4f55477","2026-09-04T19:39:34-07:00","Add fantasy season operations (#57)","success","0","2558","validation-plan:4424868ce1fe68d1c25c51c5b4c586900bf66625a47b61aea6899ff0790ac667","validation-plan:4424868ce1fe68d1c25c51c5b4c586900bf66625a47b61aea6899ff0790ac667","change-set:fd50cdd95e0cadc3a2a5a569810f2e89149df86764913ad8a3ac14f095a2b091","change-set:fd50cdd95e0cadc3a2a5a569810f2e89149df86764913ad8a3ac14f095a2b091","True","10","7","7","True"
"ICELINES","0be0c480a1fcbff258005fc1d41d251ce4f55477","c481a10f2ced61c36304e5a64ad2377f5c33c3ad","2026-09-04T18:15:29-07:00","Allow fantasy leagues to use installed schemes (#56)","success","0","2141","validation-plan:1f6933a0c6b97441f4856abe313348d69620bf29503831b29ce03f871d3dbed2","validation-plan:1f6933a0c6b97441f4856abe313348d69620bf29503831b29ce03f871d3dbed2","change-set:23c2f8078afe8ebe3cf85d65d0987ad87667b5cf622eb8e3221b1fd9cee8953f","change-set:23c2f8078afe8ebe3cf85d65d0987ad87667b5cf622eb8e3221b1fd9cee8953f","True","2","1","7","False"
"ICELINES","c481a10f2ced61c36304e5a64ad2377f5c33c3ad","f3ff1d8b957bc88893d21b988b7c57ed2ad1fd3f","2026-09-04T17:36:26-07:00","Support complete preseason fantasy roster imports (#55)","success","0","2037","validation-plan:400a189cf960a59decef103bbc7cb251d488d1098b9f713d06828dd42e9fea4e","validation-plan:400a189cf960a59decef103bbc7cb251d488d1098b9f713d06828dd42e9fea4e","change-set:77431e283a56e7ad45385eb558adaad5d1c523d48e80c17c49852835fc52538b","change-set:77431e283a56e7ad45385eb558adaad5d1c523d48e80c17c49852835fc52538b","True","6","7","7","True"
"ICELINES","f3ff1d8b957bc88893d21b988b7c57ed2ad1fd3f","1fdd39dba0444ed07a93ef7c191fa4f703a76390","2026-09-02T18:14:28-07:00","Streamline the developer landing page (#54)","success","0","1883","validation-plan:0c72ed6a3fcfc32e608968ac54a0c00894ef5b43f1895bdc3834b77abcdce86d","validation-plan:0c72ed6a3fcfc32e608968ac54a0c00894ef5b43f1895bdc3834b77abcdce86d","change-set:508246612b9dc88f2c6216d0f2effb9349ea7e878bc6597fda94278d174805a1","change-set:508246612b9dc88f2c6216d0f2effb9349ea7e878bc6597fda94278d174805a1","True","1","0","7","True"
"ICELINES","1fdd39dba0444ed07a93ef7c191fa4f703a76390","c86a1d0dc21a89051aaa83ed30c3d0c46e078895","2026-09-02T11:38:16-07:00","Neutralize team-specific fixtures and examples (#53)","success","0","2153","validation-plan:4e0a1dcd457c11f17285e44b240c173d5a13fb4ea06a3058d37c7d56cef36b8f","validation-plan:4e0a1dcd457c11f17285e44b240c173d5a13fb4ea06a3058d37c7d56cef36b8f","change-set:1495dac0b9cc3e74a824e6f2c0a659edd203848f21cedcc9ab055883ed2452b7","change-set:1495dac0b9cc3e74a824e6f2c0a659edd203848f21cedcc9ab055883ed2452b7","True","211","7","7","True"
"ICELINES","c86a1d0dc21a89051aaa83ed30c3d0c46e078895","7b13ce097082893ef01f89abd3f3f9c26362f049","2026-09-02T09:39:37-07:00","Externalize hobby-specific scenarios (#52)","success","0","3559","validation-plan:86e901fa1840b5a095668990f6b61197a77ba9ac426a215d77693dc6ddb62afa","validation-plan:86e901fa1840b5a095668990f6b61197a77ba9ac426a215d77693dc6ddb62afa","change-set:2d02bd2b3bc85f643b18561a6b51cdc022540f105135d77fc06c5a7154f77260","change-set:2d02bd2b3bc85f643b18561a6b51cdc022540f105135d77fc06c5a7154f77260","True","50","0","7","True"
"ICELINES","7b13ce097082893ef01f89abd3f3f9c26362f049","91681d2101f7888011d74ca71b387879c66e1731","2026-08-30T07:00:16-07:00","Fantasy: add Yahoo provider contract and 2026-27 draft board (#49)","success","0","2487","validation-plan:3ead664f1e5df09b44c75b7d904cb251838284340ab8f9867d864e9c145792bb","validation-plan:3ead664f1e5df09b44c75b7d904cb251838284340ab8f9867d864e9c145792bb","change-set:0164cd20d24d6824cbf995592e1a1410668fb27a225c0153d275e5cf036d3667","change-set:0164cd20d24d6824cbf995592e1a1410668fb27a225c0153d275e5cf036d3667","True","9","7","7","True"
"ICELINES","91681d2101f7888011d74ca71b387879c66e1731","60f1952f4122e27915f9af6e66b104b54984aaba","2026-08-29T10:07:07-07:00","Add reusable fantasy snake-draft simulator (#47)","success","0","2775","validation-plan:c6a3663fd0f50d3173609c9333cf1c179a23c3f675db18a9823943e1772fd7c4","validation-plan:c6a3663fd0f50d3173609c9333cf1c179a23c3f675db18a9823943e1772fd7c4","change-set:44699ddff0cab2806854e719a45f8325a2e4cfd1363215ddc8294f2c392d952e","change-set:44699ddff0cab2806854e719a45f8325a2e4cfd1363215ddc8294f2c392d952e","True","18","7","7","True"
"ICELINES","60f1952f4122e27915f9af6e66b104b54984aaba","ce1254964ffd4af501467597026c1ff51006ee05","2026-08-28T06:37:21-07:00","docs: remediate Yahoo guide roles review","success","0","2419","validation-plan:91828745bc489a15f298da21cb679c35e4629804ea52cfc6865f2f01208a2684","validation-plan:91828745bc489a15f298da21cb679c35e4629804ea52cfc6865f2f01208a2684","change-set:f3c359b12387b885fa083bb279e2413c19604a34253111857cb5ead05846d97e","change-set:f3c359b12387b885fa083bb279e2413c19604a34253111857cb5ead05846d97e","True","2","0","7","True"
"ICELINES","ce1254964ffd4af501467597026c1ff51006ee05","1f5286f5f4b5d04aa2c2f2aed7fc47d33dd38dcd","2026-08-28T06:29:03-07:00","docs: review Yahoo guide and explain injury slots","success","0","2340","validation-plan:91828745bc489a15f298da21cb679c35e4629804ea52cfc6865f2f01208a2684","validation-plan:91828745bc489a15f298da21cb679c35e4629804ea52cfc6865f2f01208a2684","change-set:f3c359b12387b885fa083bb279e2413c19604a34253111857cb5ead05846d97e","change-set:f3c359b12387b885fa083bb279e2413c19604a34253111857cb5ead05846d97e","True","2","0","7","True"
